RESM_CD(행정동코드(거주지)),M15(남자 15~19세),CHN(중국),PHL(필리핀),MYS(말레이시아),USA(미국)
11260620,9999.999,,,,
11680600,9999.999,,,,
11350710,9999.999,,,,
11590660,9999.999,,,,
11590510,9999.999,,,,
11650580,9999.999,,,,
11320710,9999.999,,,,
11140615,9999.999,,,,
11470520,9999.999,,,,
11230610,9999.999,,,,
11170520,9999.999,,,,
11215870,9999.999,,,,
11290725,9999.999,,,,
11710710,9999.999,,,,
11650560,9999.999,,,,
11470670,9999.999,,,,
11305555,9999.999,,,,
11710642,9999.999,,,,
11590560,9999.999,,,,
11680565,9999.999,,,,
11200660,9999.999,,,,
11290580,9999.999,,,,
11215860,9999.999,,,,
11440700,9999.999,,,,
11440690,9999.999,,,,
11260565,9999.999,,,,
11590620,9999.999,,,,
11110540,9999.999,,,,
11140645,9999.999,,,,
11530740,9999.999,,,,
11380590,9999.999,,,,
11305535,9999.999,,,,
11530520,9999.999,,,,
11320690,9999.999,,,,
11290810,9999.999,,,,
11650510,9999.999,,,,
11680510,9999.999,,,,
11680650,9999.999,,,,
11650570,9999.999,,,,
11140625,9999.999,,,,
11170690,9999.999,,,,
11350640,9999.999,,,,
11620625,9999.999,,,,
11290600,9999.999,,,,
11740540,9999.999,,,,
11680521,9999.999,,,,
11170570,9999.999,,,,
11590605,9999.999,,,,
11710610,9999.999,,,,
11470540,9999.999,,,,
11170530,9999.999,,,,
11305620,9999.999,,,,
11650590,9999.999,,,,
11230740,9999.999,,,,
11560630,9999.999,,,,
11230650,9999.999,,,,
11230750,9999.999,,,,
11440630,9999.999,,,,
11620595,9999.999,,,,
11620565,9999.999,,,,
11620765,9999.999,,,,
11305606,9999.999,,,,
11470611,9999.999,,,,
11620575,9999.999,,,,
11500630,9999.999,,,,
11590670,9999.999,,,,
11560620,9999.999,,,,
11110710,9999.999,,,,
11710570,9999.999,,,,
11350619,9999.999,,,,
11170560,9999.999,,,,
11740570,9999.999,,,,
11710520,9999.999,,,,
11110600,9999.999,,,,
11110680,9999.999,,,,
11170590,9999.999,,,,
11545610,9999.999,,,,
11230705,9999.999,,,,
11710632,9999.999,,,,
11320660,9999.999,,,,
11305645,9999.999,,,,
11620585,9999.999,,,,
11350665,9999.999,,,,
11500520,9999.999,,,,
11350630,9999.999,,,,
11710650,9999.999,,,,
11710690,9999.999,,,,
11650520,9999.999,,,,
11740610,9999.999,,,,
11380640,9999.999,,,,
11350570,9999.999,,,,
11215840,9999.999,,,,
11530750,9999.999,,,,
11350560,9999.999,,,,
11650660,9999.999,,,,
11290640,9999.999,,,,
11200620,9999.999,,,,
11650600,9999.999,,,,
11545670,9999.999,,,,
11740700,9999.999,,,,
11200790,9999.999,,,,
11350624,9999.999,,,,
11140550,9999.999,,,,
11320521,9999.999,,,,
11230730,9999.999,,,,
11650652,9999.999,,,,
11305610,9999.999,,,,
11740600,9999.999,,,,
11590520,9999.999,,,,
11215820,9999.999,,,,
11620695,9999.999,,,,
11290715,9999.999,,,,
11500550,9999.999,,,,
11500605,9999.999,,,,
11215740,9999.999,,,,
11740660,9999.999,,,,
11260590,9999.999,,,,
11200550,9999.999,,,,
11350625,9999.999,,,,
11500530,9999.999,,,,
11200580,9999.999,,,,
11680531,9999.999,,,,
11140670,9999.999,,,,
11560585,9999.999,,,,
11140665,9999.999,,,,
11680670,9999.999,,,,
11260630,9999.999,,,,
11530550,9999.999,,,,
11530720,9999.999,,,,
11170660,9999.999,,,,
11260600,9999.999,,,,
11215770,9999.999,,,,
11260610,9999.999,,,,
11620735,9999.999,,,,
11170510,9999.999,,,,
11680590,9999.999,,,,
11650620,9999.999,,,,
11200650,9999.999,,,,
11320515,9999.999,,,,
11350621,9999.999,,,,
11710647,9999.999,,,,
11710561,9999.999,,,,
11260690,9999.999,,,,
11680700,9999.999,,,,
11305600,9999.999,,,,
11560720,9999.999,,,,
11590540,9999.999,,,,
11620655,9999.999,,,,
11710646,9999.999,,,,
11680740,9999.999,,,,
11710600,9999.999,,,,
11740530,9999.999,,,,
11470620,9999.999,,,,
11500560,9999.999,,,,
11110640,9999.999,,,,
11740515,9999.999,,,,
11620630,9999.999,,,,
11470560,9999.999,,,,
11680660,9999.999,,,,
11260680,9999.999,,,,
11320670,9999.999,,,,
11260575,9999.999,,,,
11260520,9999.999,,,,
11680630,9999.999,,,,
11290590,9999.999,,,,
11215750,9999.999,,,,
11740580,9999.999,,,,
11260580,9999.999,,,,
11140650,9999.999,,,,
11170580,9999.999,,,,
11500640,9999.999,,,,
11530540,9999.999,,,,
11740620,9999.999,,,,
11140635,9999.999,,,,
11680690,9999.999,,,,
11560710,9999.999,,,,
11260570,9999.999,,,,
11710566,9999.999,,,,
11740650,9999.999,,,,
11440680,9999.999,,,,
11440610,9999.999,,,,
11620615,9999.999,,,,
11320700,9999.999,,,,
11305660,9999.999,,,,
11710580,9999.999,,,,
11710531,9999.999,,,,
11560690,9999.999,,,,
11545630,9999.999,,,,
11260655,9999.999,,,,
11320512,9999.999,,,,
11710532,9999.999,,,,
11620745,9999.999,,,,
11170650,9999.999,,,,
11200670,9999.999,,,,
11620525,9999.999,,,,
11590640,9999.999,,,,
11470530,9999.999,,,,
11740590,9999.999,,,,
11140590,9999.999,,,,
11710641,9999.999,,,,
11560680,9999.999,,,,
11215710,9999.999,,,,
11215760,9999.999,,,,
11680750,9999.999,,,,
11620645,9999.999,,,,
11215850,9999.999,,,,
11110690,9999.999,,,,
11470600,9999.999,,,,
11590550,9999.999,,,,
11350612,9999.999,,,,
11545700,9999.999,,,,
11350720,9999.999,,,,
11230710,9999.999,,,,
11290685,9999.999,,,,
11530790,9999.999,,,,
11620775,9999.999,,,,
11290760,9999.999,,,,
11380650,9999.999,,,,
11740640,9999.999,,,,
11590650,9999.999,,,,
11530760,9999.999,,,,
11710590,9999.999,,,,
11650550,9999.999,,,,
11215780,9999.999,,,,
11215830,9999.999,,,,
11110670,9999.999,,,,
11200690,9999.999,,,,
11545510,9999.999,,,,
11215847,9999.999,,,,
11110700,9999.999,,,,
11140580,9999.999,,,,
11140680,9999.999,,,,
11500604,9999.999,,,,
11350670,9999.999,,,,
11590680,9999.999,,,,
11620685,9999.999,,,,
11530530,9999.999,,,,
11215730,9999.999,,,,
11230570,9999.999,,,,
11530770,9999.999,,,,
11545680,9999.999,,,,
11530730,9999.999,,,,
11710510,9999.999,,,,
11650610,9999.999,,,,
11710720,9999.999,,,,
11560650,9999.999,,,,
11170640,9999.999,,,,
11680580,9999.999,,,,
11470570,9999.999,,,,
11110630,9999.999,,,,
11320513,9999.999,,,,
11620725,9999.999,,,,
11260660,9999.999,,,,
11470580,9999.999,,,,
11200590,9999.999,,,,
11305630,9999.999,,,,
11590651,9999.999,,,,
11170700,9999.999,,,,
11710550,9999.999,,,,
11620665,9999.999,,,,
11200520,9999.999,,,,
11545690,9999.999,,,,
11470630,9999.999,,,,
11140570,9999.999,,,,
11620545,9999.999,,,,
11470590,9999.999,,,,
11620715,9999.999,,,,
11140540,9999.999,,,,
11140605,9999.999,,,,
11545710,9999.999,,,,
11320522,9999.999,,,,
11200720,9999.999,,,,
11260540,9999.999,,,,
11740520,9999.999,,,,
11260550,9999.999,,,,
11710540,9999.999,,,,
11290780,9999.999,,,,
11290770,9999.999,,,,
11740690,9999.999,,,,
11560660,9999.999,,,,
11545640,9999.999,,,,
11680730,9999.999,,,,
11545620,9999.999,,,,
11320680,9999.999,,,,
11560700,9999.999,,,,
11560670,9999.999,,,,
11500570,9999.999,,,,
11710631,9999.999,,,,
11740560,9999.999,,,,
11530595,9999.999,,,,
11470610,9999.999,,,,
